GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons IO,org.apache.commons.io.monitor,FileEntry,51,121,9,13,16,26,18,13,10,10
Commons IO,org.apache.commons.io.monitor,FileAlterationListenerAdaptor,0,11,0,0,0,9,0,9,0,9
Commons IO,org.apache.commons.io.monitor,FileAlterationMonitor,5,176,0,26,3,52,0,24,0,11
Commons IO,org.apache.commons.io.monitor,FileAlterationObserver,61,519,12,62,10,113,12,46,2,19
Commons IO,org.apache.commons.io.input,ClosedInputStream,0,10,0,0,0,3,0,3,0,3
Commons IO,org.apache.commons.io.input,CountingInputStream,0,86,0,6,0,20,0,10,0,7
Commons IO,org.apache.commons.io.input,CharSequenceReader,43,127,5,15,4,33,6,13,1,8
Commons IO,org.apache.commons.io.input,AutoCloseInputStream,5,19,0,2,3,8,1,4,1,3
Commons IO,org.apache.commons.io.input,SwappedDataInputStream,4,98,1,5,1,25,1,18,0,16
Commons IO,org.apache.commons.io.input,XmlStreamReader,111,940,12,122,25,161,14,77,5,19
Commons IO,org.apache.commons.io.input,ProxyReader,102,51,4,2,41,16,11,6,8,6
Commons IO,org.apache.commons.io.input,BrokenInputStream,7,21,0,0,2,8,1,6,1,6
Commons IO,org.apache.commons.io.input,TaggedInputStream,0,24,0,0,0,7,0,4,0,4
Commons IO,org.apache.commons.io.input,ReaderInputStream,4,186,1,21,2,41,2,18,1,8
Commons IO,org.apache.commons.io.input,CloseShieldInputStream,0,10,0,0,0,4,0,2,0,2
Commons IO,org.apache.commons.io.input,BoundedInputStream,84,107,9,11,21,23,14,10,9,5
Commons IO,org.apache.commons.io.input,NullReader,5,253,0,26,2,61,2,26,2,13
Commons IO,org.apache.commons.io.input,TailerListenerAdapter,8,0,0,0,6,0,6,0,6,0
Commons IO,org.apache.commons.io.input,BOMInputStream,0,345,0,58,0,72,0,46,0,17
