GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons IO,org.apache.commons.io.monitor,FileEntry,50,123,9,15,16,26,18,14,10,10
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationListenerAdaptor,0,11,0,0,0,9,0,9,0,9
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationMonitor,3,185,0,26,2,56,0,25,0,12
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationObserver,48,515,10,60,10,113,11,47,3,20
Apache Commons IO,org.apache.commons.io.serialization,WildcardClassNameMatcher,0,11,0,0,0,4,0,2,0,2
Apache Commons IO,org.apache.commons.io.serialization,ValidatingObjectInputStream,6,224,0,18,2,38,0,21,0,12
Apache Commons IO,org.apache.commons.io.serialization,FullClassNameMatcher,0,16,0,0,0,4,0,2,0,2
Apache Commons IO,org.apache.commons.io.serialization,RegexpClassNameMatcher,0,24,0,2,0,8,0,4,0,3
Apache Commons IO,org.apache.commons.io.input,UnixLineEndingInputStream,5,111,0,24,1,34,1,17,1,5
Apache Commons IO,org.apache.commons.io.input,ReversedLinesFileReader.FilePart,52,286,5,39,6,57,5,22,0,5
Apache Commons IO,org.apache.commons.io.input,ClosedInputStream,0,10,0,0,0,3,0,3,0,3
Apache Commons IO,org.apache.commons.io.input,CharacterFilterReader,0,15,0,2,0,4,0,3,0,2
Apache Commons IO,org.apache.commons.io.input,CountingInputStream,0,86,0,6,0,20,0,10,0,7
Apache Commons IO,org.apache.commons.io.input,ObservableInputStream.Observer,2,7,0,0,1,5,1,5,1,5
Apache Commons IO,org.apache.commons.io.input,CharSequenceReader,43,129,6,16,4,33,7,13,1,8
Apache Commons IO,org.apache.commons.io.input,InfiniteCircularInputStream,0,27,0,0,0,6,0,2,0,2
Apache Commons IO,org.apache.commons.io.input,BOMInputStream.new Comparator() {...},0,21,0,4,0,8,0,4,0,2
Apache Commons IO,org.apache.commons.io.input,ReversedLinesFileReader,19,240,0,32,6,51,3,22,3,6
Apache Commons IO,org.apache.commons.io.input,AutoCloseInputStream,5,19,0,2,3,8,1,4,1,3
Apache Commons IO,org.apache.commons.io.input,SwappedDataInputStream,4,98,1,5,1,25,1,18,0,16
Apache Commons IO,org.apache.commons.io.input,MessageDigestCalculatingInputStream.MessageDigestMaintainingObserver,6,13,0,0,2,5,1,2,1,2
Apache Commons IO,org.apache.commons.io.input,BoundedReader,0,100,0,12,0,27,0,12,0,6
Apache Commons IO,org.apache.commons.io.input,XmlStreamReader,107,1270,12,148,23,181,13,91,4,20
Apache Commons IO,org.apache.commons.io.input,CharacterSetFilterReader,0,21,0,2,0,5,0,4,0,3
Apache Commons IO,org.apache.commons.io.input,ProxyReader,97,56,4,2,38,19,10,7,7,7
Apache Commons IO,org.apache.commons.io.input,BrokenInputStream,7,21,0,0,2,8,1,6,1,6
Apache Commons IO,org.apache.commons.io.input,TaggedInputStream,0,24,0,0,0,7,0,4,0,4
Apache Commons IO,org.apache.commons.io.input,ReaderInputStream,39,221,7,29,5,57,9,21,2,10
Apache Commons IO,org.apache.commons.io.input,CloseShieldInputStream,0,10,0,0,0,4,0,2,0,2
Apache Commons IO,org.apache.commons.io.input,WindowsLineEndingInputStream,5,129,0,26,1,42,1,18,1,5
Apache Commons IO,org.apache.commons.io.input,BoundedInputStream,84,107,9,11,21,23,14,10,9,5
Apache Commons IO,org.apache.commons.io.input,NullReader,5,253,0,26,2,61,2,26,2,13
Apache Commons IO,org.apache.commons.io.input,TailerListenerAdapter,6,3,0,0,6,1,6,1,6,1
Apache Commons IO,org.apache.commons.io.input,BOMInputStream,0,360,0,56,0,75,0,46,0,18
Apache Commons IO,org.apache.commons.io.input,XmlStreamReaderException,0,43,0,0,0,14,0,7,0,7
Apache Commons IO,org.apache.commons.io.input,Tailer,159,410,20,43,19,109,21,32,7,14
Apache Commons IO,org.apache.commons.io.input,ObservableInputStream,53,180,8,22,20,62,10,20,3,12
Apache Commons IO,org.apache.commons.io.input,CharSequenceInputStream,77,289,12,34,7,75,12,25,1,13
Apache Commons IO,org.apache.commons.io.input,ClassLoaderObjectInputStream,10,41,0,2,4,8,0,4,0,3
Apache Commons IO,org.apache.commons.io.input,NullInputStream,7,272,1,29,3,66,3,28,2,14
Apache Commons IO,org.apache.commons.io.input,DemuxInputStream,13,30,3,1,5,8,3,3,1,3
Apache Commons IO,org.apache.commons.io.input,ProxyInputStream,38,85,1,3,17,30,2,13,1,12
Apache Commons IO,org.apache.commons.io.input,AbstractCharacterFilterReader,45,14,8,2,11,5,5,3,1,2
Apache Commons IO,org.apache.commons.io.input,TeeInputStream,19,60,4,6,4,18,3,8,1,5
Apache Commons IO,org.apache.commons.io.input,MessageDigestCalculatingInputStream,6,22,0,0,2,7,1,3,1,3
Apache Commons IO,org.apache.commons.io.input.buffer,PeekableInputStream,98,0,8,0,16,0,8,0,4,0
Apache Commons IO,org.apache.commons.io.input.buffer,CircularByteBuffer,315,121,46,12,49,25,33,9,7,6
Apache Commons IO,org.apache.commons.io.input.buffer,CircularBufferInputStream,49,118,7,15,13,34,10,9,3,5
Apache Commons IO,org.apache.commons.io.output,NullPrintStream,0,11,0,0,0,3,0,2,0,2
Apache Commons IO,org.apache.commons.io.output,ProxyOutputStream,17,66,0,2,7,30,0,10,0,9
Apache Commons IO,org.apache.commons.io.output,XmlStreamWriter,48,168,8,16,11,42,10,13,3,8
Apache Commons IO,org.apache.commons.io.output,NullOutputStream,0,11,0,0,0,5,0,5,0,5
Apache Commons IO,org.apache.commons.io.output,TeeOutputStream,0,54,0,0,0,19,0,6,0,6
Apache Commons IO,org.apache.commons.io.output,ClosedOutputStream,0,27,0,0,0,4,0,4,0,4
Apache Commons IO,org.apache.commons.io.output,ChunkedWriter,0,45,0,4,0,16,0,5,0,3
Apache Commons IO,org.apache.commons.io.output,NullWriter,2,19,0,0,1,12,1,11,1,11
Apache Commons IO,org.apache.commons.io.output,ByteArrayOutputStream,30,496,10,36,3,116,10,31,0,18
Apache Commons IO,org.apache.commons.io.output,CountingOutputStream,0,74,0,4,0,17,0,8,0,6
Apache Commons IO,org.apache.commons.io.output,ThresholdingOutputStream,14,99,0,6,6,28,3,12,3,9
Apache Commons IO,org.apache.commons.io.output,TaggedOutputStream,0,24,0,0,0,7,0,4,0,4
Apache Commons IO,org.apache.commons.io.output,FileWriterWithEncoding,31,174,0,12,8,54,3,23,3,17
Apache Commons IO,org.apache.commons.io.output,ProxyWriter,30,161,0,6,10,70,0,17,0,14
Apache Commons IO,org.apache.commons.io.output,CloseShieldOutputStream,0,10,0,0,0,4,0,2,0,2
Apache Commons IO,org.apache.commons.io.output,BrokenOutputStream,7,15,0,0,2,6,1,4,1,4
Apache Commons IO,org.apache.commons.io.output,DeferredFileOutputStream,51,174,10,16,7,47,8,17,0,12
Apache Commons IO,org.apache.commons.io.output,LockableFileWriter,119,147,5,9,33,38,16,11,12,8
Apache Commons IO,org.apache.commons.io.output,WriterOutputStream,37,233,2,16,10,68,5,19,3,12
Apache Commons IO,org.apache.commons.io.output,StringBuilderWriter,0,79,2,4,0,25,2,13,0,12
Apache Commons IO,org.apache.commons.io.output,AppendableOutputStream,0,16,0,0,0,6,0,3,0,3
Apache Commons IO,org.apache.commons.io.output,DemuxOutputStream,22,31,5,1,8,9,5,3,2,3
Apache Commons IO,org.apache.commons.io.output,ChunkedOutputStream,0,45,0,4,0,16,0,5,0,3
Apache Commons IO,org.apache.commons.io,FileExistsException,16,4,0,0,4,2,2,1,2,1
Apache Commons IO,org.apache.commons.io,DirectoryWalker,1,220,0,26,1,56,1,28,1,15
Apache Commons IO,org.apache.commons.io,EndianUtils,0,749,0,4,0,87,0,33,0,31
Apache Commons IO,org.apache.commons.io,FileUtils,841,2721,149,359,59,577,120,256,4,118
Apache Commons IO,org.apache.commons.io,ByteOrderMark,0,296,0,24,0,46,0,21,0,9
Apache Commons IO,org.apache.commons.io,FilenameUtils,29,1647,19,367,10,391,20,219,1,45
Apache Commons IO,org.apache.commons.io,FileSystemUtils,137,634,36,67,29,133,25,42,2,12
Apache Commons IO,org.apache.commons.io,IOCase,11,214,1,29,1,31,3,27,2,13
Apache Commons IO,org.apache.commons.io,DirectoryWalker.CancelException,0,22,0,0,0,8,0,4,0,4
Apache Commons IO,org.apache.commons.io,FileCleaningTracker.Reaper,0,50,0,6,0,15,0,5,0,2
Apache Commons IO,org.apache.commons.io,LineIterator,5,112,1,17,3,41,1,16,0,8
Apache Commons IO,org.apache.commons.io,Charsets,3,70,0,4,1,16,1,6,1,4
Apache Commons IO,org.apache.commons.io,ThreadMonitor,0,70,1,5,0,26,1,8,0,6
Apache Commons IO,org.apache.commons.io,FileCleaningTracker.Tracker,0,27,0,2,0,6,0,4,0,3
Apache Commons IO,org.apache.commons.io,FileCleaner,31,7,0,0,12,2,7,2,7,2
Apache Commons IO,org.apache.commons.io,ByteOrderParser,3,34,0,4,2,5,1,3,1,1
Apache Commons IO,org.apache.commons.io,FileDeleteStrategy.ForceFileDeleteStrategy,0,8,0,0,0,4,0,2,0,2
Apache Commons IO,org.apache.commons.io,FileDeleteStrategy,3,62,0,8,2,13,0,10,0,6
Apache Commons IO,org.apache.commons.io,FileSystem,62,541,10,26,15,45,13,23,6,12
Apache Commons IO,org.apache.commons.io,IOUtils,424,1731,73,219,48,416,64,215,14,119
Apache Commons IO,org.apache.commons.io,IOExceptionWithCause,4,5,0,0,2,2,1,1,1,1
Apache Commons IO,org.apache.commons.io,HexDump,3,298,0,24,2,37,1,16,1,4
Apache Commons IO,org.apache.commons.io,FileCleaningTracker,8,117,1,9,1,32,2,12,1,8
Apache Commons IO,org.apache.commons.io,TaggedIOException,3,37,1,7,1,9,2,7,1,4
Apache Commons IO,org.apache.commons.io,CopyUtils,31,135,0,4,9,40,2,13,2,11
Apache Commons IO,org.apache.commons.io.filefilter,AbstractFileFilter,0,22,0,0,0,4,0,4,0,4
Apache Commons IO,org.apache.commons.io.filefilter,PrefixFileFilter,6,191,4,22,0,44,4,18,0,9
Apache Commons IO,org.apache.commons.io.filefilter,HiddenFileFilter,0,16,0,0,0,5,0,3,0,3
Apache Commons IO,org.apache.commons.io.filefilter,DelegateFileFilter,5,78,1,9,1,19,1,9,0,5
Apache Commons IO,org.apache.commons.io.filefilter,WildcardFileFilter,2,195,2,24,0,44,2,20,0,9
Apache Commons IO,org.apache.commons.io.filefilter,TrueFileFilter,0,14,0,0,0,6,0,4,0,4
