GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Coverage,Branch_Coverage,Complexity,rank.N,rank.O,rank.P,D*2 (Q&R),D*2 (Q&S),D*2 (R&S)
Apache Commons Collections,org.apache.commons.collections4.keyvalue,TiedMapEntry,3,106,5,17,1,21,5,13,0,7,0.972477064,0.772727273,18,250,90.5,371.5,25440.25,14762.25,78961
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntry,0,70,1,19,0,13,1,13,0,4,1,0.95,14,366.5,322,321,1980.25,2070.25,1
Apache Commons Collections,org.apache.commons.collections4.keyvalue,UnmodifiableMapEntry,0,24,0,0,0,7,0,4,0,4,1,0.81,4,366,175.5,116.5,36290.25,62250.25,3481
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractKeyValue,0,44,0,0,0,17,0,6,0,6,1,0.81,6,365.5,175,176,36290.25,35910.25,1
Apache Commons Collections,org.apache.commons.collections4.keyvalue,MultiKey,0,195,0,12,0,37,0,20,0,14,1,1,20,365,397.5,387.5,1056.25,506.25,100
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultMapEntry,0,19,0,0,0,6,0,3,0,3,1,0.81,3,364.5,174.5,83.5,36100,78961,8281
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultKeyValue,3,111,5,19,1,24,5,16,0,9,0.973684211,0.791666667,21,253,95,394,24964,19881,89401
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntryDecorator,11,36,2,2,3,11,3,7,1,7,0.765957447,0.5,10,96,36,261,3600,27225,50625
Apache Commons Collections,org.apache.commons.collections4.splitmap,TransformedSplitMap,24,94,3,5,7,23,5,10,2,9,0.796610169,0.625,15,108,55.5,329.5,2756.25,49062.25,75076
Apache Commons Collections,org.apache.commons.collections4.splitmap,AbstractIterableGetMapDecorator,22,61,2,2,5,18,5,13,3,13,0.734939759,0.5,18,83,35.5,365,2256.25,79524,108570.25
Apache Commons Collections,org.apache.commons.collections4.collection,AbstractCollectionDecorator,3,84,0,2,2,23,1,18,1,17,0.965517241,1,19,235,392,374,24649,19321,324
Apache Commons Collections,org.apache.commons.collections4.collection,TransformedCollection,0,103,1,7,0,21,1,10,0,7,1,0.875,11,359,264.5,281.5,8930.25,6006.25,289
Apache Commons Collections,org.apache.commons.collections4.collection,IndexedCollection,6,207,1,21,1,55,2,25,1,15,0.971830986,0.954545455,27,245,315.5,411.5,4970.25,27722.25,9216
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableBoundedCollection,29,75,5,9,7,21,7,13,2,11,0.721153846,0.642857143,20,76,58,381,324,93025,104329
Apache Commons Collections,org.apache.commons.collections4.collection,PredicatedCollection,0,94,0,8,0,20,0,11,0,7,1,1,11,356.5,388.5,281,1024,5700.25,11556.25
Apache Commons Collections,org.apache.commons.collections4.collection,CompositeCollection,50,337,1,41,14,83,7,39,6,19,0.870801034,0.976190476,46,147,317,436,28900,83521,14161
Apache Commons Collections,org.apache.commons.collections4.collection,SynchronizedCollection,10,230,3,9,2,49,3,23,0,20,0.958333333,0.75,26,218.5,79,407,19460.25,35532.25,107584
Apache Commons Collections,org.apache.commons.collections4.collection,PredicatedCollection.Builder,50,138,8,10,12,36,9,14,2,12,0.734042553,0.555555556,23,81,45.5,395,1260.25,98596,122150.25
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableCollection,0,45,0,2,0,13,0,10,0,9,1,1,10,353,385,260.5,1024,8556.25,15500.25
Apache Commons Collections,org.apache.commons.collections4.comparators,TransformingComparator,14,101,9,13,0,22,7,9,0,5,0.87826087,0.590909091,16,148,49,339.5,9801,36672.25,84390.25
Apache Commons Collections,org.apache.commons.collections4.comparators,FixedOrderComparator.new Object() {...},3,23,0,0,0,1,0,1,0,1,0.884615385,0.81,1,150.5,166,6.5,240.25,20736,25440.25
Apache Commons Collections,org.apache.commons.collections4.comparators,ReverseComparator,8,46,2,6,3,12,3,6,1,4,0.851851852,0.75,9,133,76.5,239.5,3192.25,11342.25,26569
Apache Commons Collections,org.apache.commons.collections4.comparators,BooleanComparator,7,79,1,13,1,17,2,15,1,9,0.918604651,0.928571429,17,176,300,347.5,15376,29412.25,2256.25
Apache Commons Collections,org.apache.commons.collections4.comparators,ComparableComparator,0,33,0,6,0,8,0,9,0,6,1,1,9,348.5,380.5,239,1024,11990.25,20022.25
Apache Commons Collections,org.apache.commons.collections4.comparators,FixedOrderComparator.UnknownObjectBehavior,0,34,0,0,0,2,0,1,0,1,1,0.81,1,348,164.5,6,33672.25,116964,25122.25
Apache Commons Collections,org.apache.commons.collections4.comparators,FixedOrderComparator,63,320,22,44,6,57,20,26,0,12,0.835509138,0.666666667,46,123,58.5,426.5,4160.25,92112.25,135424
Apache Commons Collections,org.apache.commons.collections4.comparators,NullComparator,33,73,8,16,6,17,10,9,3,4,0.688679245,0.666666667,19,64,58,364.5,36,90300.25,93942.25
Apache Commons Collections,org.apache.commons.collections4.comparators,ComparatorChain,70,219,15,27,19,58,18,21,6,12,0.757785467,0.642857143,39,87,55.5,415.5,992.25,107912.25,129600
Apache Commons Collections,org.apache.commons.collections4.properties,SortedProperties,0,35,0,2,0,8,0,3,0,2,1,1,3,344.5,376,81,992.25,69432.25,87025
Apache Commons Collections,org.apache.commons.collections4.sequence,KeepCommand,0,9,0,0,0,4,0,2,0,2,1,0.81,2,344,161,37.5,33489,93942.25,15252.25
Apache Commons Collections,org.apache.commons.collections4.sequence,DeleteCommand,0,9,0,0,0,4,0,2,0,2,1,0.81,2,343.5,160.5,37,33489,93942.25,15252.25
Apache Commons Collections,org.apache.commons.collections4.sequence,SequencesComparator,5,558,3,79,1,79,3,44,0,6,0.991119005,0.963414634,47,241,303,422.5,3844,32942.25,14280.25
Apache Commons Collections,org.apache.commons.collections4.sequence,SequencesComparator.Snake,0,21,0,0,0,8,0,4,0,4,1,0.81,4,342,160,110,33124,53824,2500
Apache Commons Collections,org.apache.commons.collections4.sequence,ReplacementsFinder,65,0,4,0,17,0,6,0,4,0,0,0,6,4,8.5,168.5,20.25,27060.25,25600
Apache Commons Collections,org.apache.commons.collections4.sequence,EditCommand,0,9,0,0,0,4,0,2,0,2,1,0.81,2,340.5,158.5,36.5,33124,92416,14884
Apache Commons Collections,org.apache.commons.collections4.sequence,InsertCommand,0,9,0,0,0,4,0,2,0,2,1,0.81,2,340,158,36,33124,92416,14884
Apache Commons Collections,org.apache.commons.collections4.sequence,EditScript,3,69,0,2,1,19,1,7,1,6,0.958333333,1,8,209,368.5,209.5,25440.25,0.25,25281
Apache Commons Collections,org.apache.commons.collections4.trie.analyzer,StringKeyAnalyzer,15,174,10,24,4,36,11,14,1,7,0.920634921,0.705882353,25,176,62.5,385,12882.25,43681,104006.25
Apache Commons Collections,org.apache.commons.collections4.bag,AbstractMapBag,15,624,8,74,3,163,8,60,0,27,0.976525822,0.902439024,68,234,269,424,1225,36100,24025
Apache Commons Collections,org.apache.commons.collections4.bag,PredicatedBag,0,55,0,4,0,11,0,11,0,9,1,1,11,336.5,366,267.5,870.25,4761,9702.25
Apache Commons Collections,org.apache.commons.collections4.bag,SynchronizedBag,5,98,0,2,2,19,1,10,1,9,0.951456311,1,11,200,365.5,267,27390.25,4489,9702.25
Apache Commons Collections,org.apache.commons.collections4.bag,AbstractMapBag.BagIterator,4,112,1,13,1,26,1,10,0,4,0.965517241,0.928571429,11,219.5,287.5,266.5,4624,2209,441
Apache Commons Collections,org.apache.commons.collections4.bag,PredicatedSortedBag,0,27,0,0,0,7,0,6,0,6,1,0.81,6,334,156.5,166,31506.25,28224,90.25
Apache Commons Collections,org.apache.commons.collections4.bag,AbstractSortedBagDecorator,7,16,0,0,3,5,2,4,2,4,0.695652174,0.81,6,65,156,165.5,8281,10100.25,90.25
Apache Commons Collections,org.apache.commons.collections4.bag,UnmodifiableSortedBag,12,61,0,2,3,19,3,12,3,11,0.835616438,1,15,119,362,309,59049,36100,2809
Apache Commons Collections,org.apache.commons.collections4.bag,SynchronizedBag.SynchronizedBagSet,0,8,0,0,0,3,0,1,0,1,1,0.81,1,331.5,155.5,5.5,30976,106276,22500
Apache Commons Collections,org.apache.commons.collections4.bag,AbstractBagDecorator,9,39,0,4,3,8,2,9,2,7,0.8125,1,11,110,360.5,263,62750.25,23409,9506.25
Apache Commons Collections,org.apache.commons.collections4.bag,SynchronizedSortedBag,42,9,0,0,9,3,5,2,5,2,0.176470588,0.81,7,8,155,184.5,21609,31152.25,870.25
Apache Commons Collections,org.apache.commons.collections4.bag,TransformedSortedBag,44,23,4,0,8,6,4,5,2,5,0.343283582,0,9,13,8,225.5,25,45156.25,47306.25
