GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Coverage,Branch_Coverage,Complexity,Rank.N,Rank.O,Rank.P,D*2(Q&R),D*2 (Q&S),D*2 (R&S)
Apache Commons Collections,org.apache.commons.collections4.keyvalue,TiedMapEntry,3,106,5,17,1,21,5,13,0,7,0.972477064,0.772727273,18,169,79,174.5,8100,30.25,9120.25
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntry,2,68,3,17,1,12,3,11,0,4,0.971428571,0.85,14,167,95.5,132.5,5112.25,1190.25,1369
Apache Commons Collections,org.apache.commons.collections4.keyvalue,MultiKey,0,195,0,12,0,37,0,20,0,14,1,1,20,219.5,204,188,240.25,992.25,256
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultKeyValue,3,111,5,19,1,24,5,16,0,9,0.973684211,0.791666667,21,171,81,193.5,8100,506.25,12656.25
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntryDecorator,11,36,2,2,3,11,3,7,1,7,0.765957447,0.5,10,54,29,92,625,1444,3969
Apache Commons Collections,org.apache.commons.collections4.splitmap,TransformedSplitMap,24,94,3,5,7,23,5,10,2,9,0.796610169,0.625,15,64,47.5,142,272.25,6084,8930.25
Apache Commons Collections,org.apache.commons.collections4.splitmap,AbstractIterableGetMapDecorator,17,59,1,1,4,17,4,13,3,13,0.776315789,0.5,17,58,28.5,162,870.25,10816,17822.25
Apache Commons Collections,org.apache.commons.collections4.collection,AbstractCollectionDecorator,3,100,0,6,2,25,1,22,1,19,0.970873786,1,23,162,199.5,198,1406.25,1296,2.25
Apache Commons Collections,org.apache.commons.collections4.collection,TransformedCollection,0,103,1,7,0,21,1,10,0,7,1,0.875,11,214,97,107.5,13689,11342.25,110.25
Apache Commons Collections,org.apache.commons.collections4.collection,IndexedCollection,6,207,1,21,1,55,2,25,1,15,0.971830986,0.954545455,27,163,141.5,209.5,462.25,2162.25,4624
