GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,StatementCoverage,BranchCoverage,ComplexityCoverage,Rank_Statement,Rank_Branch,Rank_Complex,d^2ofQandR,d^2ofQandS,d^2ofRandS
Apache Commons Collections,org.apache.commons.collections4.keyvalue,TiedMapEntry,3,106,5,17,1,21,5,13,0,7,0.972477064,0.772727273,18,262,93.5,369,28392.25,11449,75900.25
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntry,0,70,1,19,0,13,1,13,0,4,1,0.95,14,372.5,324,319.5,2352.25,2809,20.25
Apache Commons Collections,org.apache.commons.collections4.keyvalue,UnmodifiableMapEntry,0,24,0,0,0,7,0,4,0,4,1,0.78,4,372,174,108.5,39204,69432.25,4290.25
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractKeyValue,0,44,0,0,0,17,0,6,0,6,1,0.78,6,371.5,173.5,172.5,39204,39601,1
Apache Commons Collections,org.apache.commons.collections4.keyvalue,MultiKey,0,195,0,12,0,37,0,20,0,14,1,1,20,371,397.5,385,702.25,196,156.25
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultMapEntry,0,19,0,0,0,6,0,3,0,3,1,0.78,3,370.5,173,80,39006.25,84390.25,8649
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultKeyValue,3,111,5,19,1,24,5,16,0,9,0.973684211,0.791666667,21,264,249.5,391.5,210.25,16256.25,20164
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntryDecorator,11,36,2,2,3,11,3,7,1,7,0.765957447,0.5,10,101,37.5,260.5,4032.25,25440.25,49729
Apache Commons Collections,org.apache.commons.collections4.splitmap,TransformedSplitMap,24,94,3,5,7,23,5,10,2,9,0.796610169,0.625,15,115,59,327,3136,44944,71824
Apache Commons Collections,org.apache.commons.collections4.splitmap,AbstractIterableGetMapDecorator,22,61,2,2,5,18,5,13,3,13,0.734939759,0.5,18,86,37,362.5,2401,76452.25,105950.25
Apache Commons Collections,org.apache.commons.collections4.collection,AbstractCollectionDecorator,3,84,0,2,2,23,1,18,1,17,0.965517241,1,19,248,392,371.5,20736,15252.25,420.25
Apache Commons Collections,org.apache.commons.collections4.collection,TransformedCollection,0,103,1,7,0,21,1,10,0,7,1,0.875,11,365,267.5,281.5,9506.25,6972.25,196
Apache Commons Collections,org.apache.commons.collections4.collection,IndexedCollection,6,207,1,21,1,55,2,25,1,15,0.971830986,0.954545455,27,257,317.5,409.5,3660.25,23256.25,8464
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableBoundedCollection,29,75,5,9,7,21,7,13,2,11,0.721153846,0.642857143,20,81,62,378.5,361,88506.25,100172.25
Apache Commons Collections,org.apache.commons.collections4.collection,PredicatedCollection,0,94,0,8,0,20,0,11,0,7,1,1,11,362.5,388.5,281,676,6642.25,11556.25
Apache Commons Collections,org.apache.commons.collections4.collection,CompositeCollection,50,337,1,41,14,83,7,39,6,19,0.870801034,0.976190476,46,154,319,434,27225,78400,13225
Apache Commons Collections,org.apache.commons.collections4.collection,SynchronizedCollection,50,265,3,9,10,55,3,23,0,20,0.841269841,0.75,26,137,81.5,404,3080.25,71289,104006.25
Apache Commons Collections,org.apache.commons.collections4.collection,PredicatedCollection.Builder,50,138,8,10,12,36,9,14,2,12,0.734042553,0.555555556,23,84,47.5,392.5,1332.25,95172.25,119025
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableCollection,0,45,0,2,0,13,0,10,0,9,1,1,10,359,385,260,676,9801,15625
Apache Commons Collections,org.apache.commons.collections4.comparators,TransformingComparator,14,101,9,13,0,22,7,9,0,5,0.87826087,0.590909091,16,157,52,337,11025,32400,81225
Apache Commons Collections,org.apache.commons.collections4.comparators,FixedOrderComparator.new Object() {...},3,23,0,0,0,1,0,1,0,1,0.884615385,0.78,1,159.5,165.5,6.5,36,23409,25281
Apache Commons Collections,org.apache.commons.collections4.comparators,ReverseComparator,8,46,2,6,3,12,3,6,1,4,0.851851852,0.75,9,141,79,239,3844,9604,25600
Apache Commons Collections,org.apache.commons.collections4.comparators,BooleanComparator,7,79,1,13,1,17,2,15,1,9,0.918604651,0.928571429,17,186,303,345.5,13689,25440.25,1806.25
Apache Commons Collections,org.apache.commons.collections4.comparators,ComparableComparator,0,33,0,6,0,8,0,9,0,6,1,1,9,354.5,380.5,238.5,676,13456,20164
Apache Commons Collections,org.apache.commons.collections4.comparators,FixedOrderComparator.UnknownObjectBehavior,5,43,0,0,0,2,1,3,1,3,0.895833333,0.78,4,170,164,106,36,4096,3364
