GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,StatementCoverage,BranchCoverage,ComplexCOverage,d^2ofT and U,d^2ofT and V,d^2ofU and V,rank_Statement,rank_Branch,rank_Complex
Apache Commons Collections,org.apache.commons.collections4.keyvalue,TiedMapEntry,3,106,5,17,1,21,5,13,0,7,0.972477064,0.772727273,18,24806.25,15006.25,78400,249,91.5,371.5
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntry,0,70,1,19,0,13,1,13,0,4,1,0.95,14,1980.25,2070.25,1,366.5,322,321
Apache Commons Collections,org.apache.commons.collections4.keyvalue,UnmodifiableMapEntry,0,24,0,0,0,7,0,4,0,4,1,0.81,4,35910.25,62250.25,3600,366,176.5,116.5
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractKeyValue,0,44,0,0,0,17,0,6,0,6,1,0.81,6,35910.25,35910.25,0,365.5,176,176
Apache Commons Collections,org.apache.commons.collections4.keyvalue,MultiKey,0,195,0,12,0,37,0,20,0,14,1,1,20,1056.25,506.25,100,365,397.5,387.5
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultMapEntry,0,19,0,0,0,6,0,3,0,3,1,0.81,3,35721,78961,8464,364.5,175.5,83.5
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultKeyValue,3,111,5,19,1,24,5,16,0,9,0.973684211,0.791666667,21,24336,20022.25,88506.25,252,96,393.5
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntryDecorator,11,36,2,2,3,11,3,7,1,7,0.765957447,0.5,10,3600,27060.25,50400.25,96,36,260.5
Apache Commons Collections,org.apache.commons.collections4.splitmap,TransformedSplitMap,24,94,3,5,7,23,5,10,2,9,0.796610169,0.625,15,2652.25,49506.25,75076,107,55.5,329.5
Apache Commons Collections,org.apache.commons.collections4.splitmap,AbstractIterableGetMapDecorator,22,61,2,2,5,18,5,13,3,13,0.734939759,0.5,18,2162.25,80089,108570.25,82,35.5,365
Apache Commons Collections,org.apache.commons.collections4.collection,AbstractCollectionDecorator,3,84,0,2,2,23,1,18,1,17,0.965517241,1,19,24964,19600,324,234,392,374
Apache Commons Collections,org.apache.commons.collections4.collection,TransformedCollection,0,103,1,7,0,21,1,10,0,7,1,0.875,11,8930.25,6162.25,256,359,264.5,280.5
Apache Commons Collections,org.apache.commons.collections4.collection,IndexedCollection,6,207,1,21,1,55,2,25,1,15,0.971830986,0.954545455,27,5112.25,28056.25,9216,244,315.5,411.5
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableBoundedCollection,29,75,5,9,7,21,7,13,2,11,0.721153846,0.642857143,20,324,93025,104329,76,58,381
Apache Commons Collections,org.apache.commons.collections4.collection,PredicatedCollection,0,94,0,8,0,20,0,11,0,7,1,1,11,1024,5852.25,11772.25,356.5,388.5,280
Apache Commons Collections,org.apache.commons.collections4.collection,CompositeCollection,50,337,1,41,14,83,7,39,6,19,0.870801034,0.976190476,46,29241,84100,14161,146,317,436
Apache Commons Collections,org.apache.commons.collections4.collection,SynchronizedCollection,10,230,3,9,2,49,3,23,0,20,0.958333333,0.75,26,18906.25,35910.25,106929,217.5,80,407
Apache Commons Collections,org.apache.commons.collections4.collection,PredicatedCollection.Builder,50,138,8,10,12,36,9,14,2,12,0.734042553,0.555555556,23,1190.25,99225,122150.25,80,45.5,395
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableCollection,0,45,0,2,0,13,0,10,0,9,1,1,10,1024,8649,15625,353,385,260
Apache Commons Collections,org.apache.commons.collections4.comparators,TransformingComparator,14,101,9,13,0,22,7,9,0,5,0.87826087,0.590909091,16,9604,37056.25,84390.25,147,49,339.5
Apache Commons Collections,org.apache.commons.collections4.comparators,FixedOrderComparator.new Object() {...},3,23,0,0,0,1,0,1,0,1,0.884615385,0.81,1,306.25,20449,25760.25,149.5,167,6.5
Apache Commons Collections,org.apache.commons.collections4.comparators,ReverseComparator,8,46,2,6,3,12,3,6,1,4,0.851851852,0.75,9,2970.25,11556.25,26244,132,77.5,239.5
Apache Commons Collections,org.apache.commons.collections4.comparators,BooleanComparator,7,79,1,13,1,17,2,15,1,9,0.918604651,0.928571429,17,14884,28730.25,2256.25,178,300,347.5
Apache Commons Collections,org.apache.commons.collections4.comparators,ComparableComparator,0,33,0,6,0,8,0,9,0,6,1,1,9,1024,11990.25,20022.25,348.5,380.5,239
Apache Commons Collections,org.apache.commons.collections4.comparators,FixedOrderComparator.UnknownObjectBehavior,0,34,0,0,0,2,0,1,0,1,1,0.81,1,33306.25,116964,25440.25,348,165.5,6
Apache Commons Collections,org.apache.commons.collections4.comparators,FixedOrderComparator,63,320,22,44,6,57,20,26,0,12,0.835509138,0.666666667,46,4160.25,92112.25,135424,123,58.5,426.5
Apache Commons Collections,org.apache.commons.collections4.comparators,NullComparator,33,73,8,16,6,17,10,9,3,4,0.688679245,0.666666667,19,36,90300.25,93942.25,64,58,364.5
Apache Commons Collections,org.apache.commons.collections4.comparators,ComparatorChain,70,219,15,27,19,58,18,21,6,12,0.757785467,0.642857143,39,930.25,108241,129240.25,86,55.5,415
Apache Commons Collections,org.apache.commons.collections4.properties,SortedProperties,0,35,0,2,0,8,0,3,0,2,1,1,3,992.25,69432.25,87025,344.5,376,81
Apache Commons Collections,org.apache.commons.collections4.sequence,KeepCommand,0,9,0,0,0,4,0,2,0,2,1,0.81,2,33124,93942.25,15500.25,344,162,37.5
Apache Commons Collections,org.apache.commons.collections4.sequence,DeleteCommand,0,9,0,0,0,4,0,2,0,2,1,0.81,2,33124,93942.25,15500.25,343.5,161.5,37
Apache Commons Collections,org.apache.commons.collections4.sequence,SequencesComparator,5,558,3,79,1,79,3,44,0,6,0.991119005,0.963414634,47,3844,32942.25,14280.25,241,303,422.5
Apache Commons Collections,org.apache.commons.collections4.sequence,SequencesComparator.Snake,0,21,0,0,0,8,0,4,0,4,1,0.81,4,32761,53824,2601,342,161,110
Apache Commons Collections,org.apache.commons.collections4.sequence,ReplacementsFinder,65,0,4,0,17,0,6,0,4,0,0,0,6,20.25,27060.25,25600,4,8.5,168.5
Apache Commons Collections,org.apache.commons.collections4.sequence,EditCommand,0,9,0,0,0,4,0,2,0,2,1,0.81,2,32761,92416,15129,340.5,159.5,36.5
Apache Commons Collections,org.apache.commons.collections4.sequence,InsertCommand,0,9,0,0,0,4,0,2,0,2,1,0.81,2,32761,92416,15129,340,159,36
Apache Commons Collections,org.apache.commons.collections4.sequence,EditScript,3,69,0,2,1,19,1,7,1,6,0.958333333,1,8,25760.25,2.25,25281,208,368.5,209.5
Apache Commons Collections,org.apache.commons.collections4.trie.analyzer,StringKeyAnalyzer,15,174,10,24,4,36,11,14,1,7,0.920634921,0.705882353,25,13110.25,43264,104006.25,177,62.5,385
