GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Coverage,Branch_Coverage,Complexity,rank.N,rank.o,rank.p,d^2(Q and R),d^2(Q and S),d^2(R and S)
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConfigurationDynaClass,36,140,4,26,5,42,6,15,2,4,0.795454545,0.866666667,48,32,147,252,13225,48400,11025
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,DefaultBeanFactory,7,258,3,27,0,66,3,28,0,16,0.973584906,0.9,69,82,156.5,257,5550.25,30625,10100.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,BeanHelper.BeanCreationContextImpl,5,30,0,0,1,11,1,5,1,5,0.857142857,0.83,12,39.5,90.5,192,2601,23256.25,10302.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,XMLBeanDeclaration.NodeData,0,89,0,2,0,17,0,10,0,9,1,1,17,197,241.5,290,1980.25,8649,2352.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,XMLBeanDeclaration,51,315,8,28,13,74,7,36,0,25,0.860655738,0.777777778,81,40,30.5,92,90.25,2704,3782.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConstructorArg,3,115,1,13,0,27,1,17,0,11,0.974576271,0.928571429,28,81,165.5,260,7140.25,32041,8930.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,CombinedBeanDeclaration,0,153,0,26,0,41,0,20,0,7,1,1,41,194.5,239,287,1980.25,8556.25,2304
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,BeanHelper,101,388,11,39,24,106,7,42,0,24,0.793456033,0.78,113,31,31,92.5,0,3782.25,3782.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConfigurationDynaBean,75,299,10,36,7,62,9,26,0,12,0.799465241,0.782608696,71,31,31,92,0,3721,3721
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration,392,465,25,27,83,124,68,43,50,35,0.542590432,0.519230769,192,13,16,55,9,1764,1521
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationLookup,0,21,0,2,0,7,0,4,0,3,1,1,7,191,235.5,283,1980.25,8464,2256.25
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.PropertiesWriter.new ValueTransformer() {...},0,10,0,0,0,3,0,2,0,2,1,0.83,3,190.5,86,185,10920.25,30.25,9801
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet.ConfigurationSetIterator,0,29,0,0,0,7,0,4,0,4,1,0.83,7,190,85.5,183.5,10920.25,42.25,9604
Apache Commons Configuration,org.apache.commons.configuration2,ImmutableConfigurationInvocationHandler,0,35,0,4,0,11,0,5,0,3,1,1,11,189.5,233,280,1892.25,8190.25,2209
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfigurationLayout.PropertyLayoutData,13,81,1,9,3,26,1,15,0,11,0.861702128,0.9,27,38,149,245,12321,42849,9216
Apache Commons Configuration,org.apache.commons.configuration2,StrictConfigurationComparator,0,63,0,16,0,19,0,10,0,2,1,1,19,188,231.5,278,1892.25,8100,2162.25
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.JdbcOperation,3,149,1,11,1,32,1,11,0,6,0.980263158,0.916666667,33,81,152.5,248,5112.25,27889,9120.25
Apache Commons Configuration,org.apache.commons.configuration2,XMLConfiguration.XMLBuilderVisitor,42,294,8,36,11,78,8,25,1,10,0.875,0.818181818,86,39,35,95.5,16,3192.25,3660.25
Apache Commons Configuration,org.apache.commons.configuration2,XMLPropertiesConfiguration.XMLPropertiesHandler,0,71,0,8,0,18,0,8,0,4,1,1,18,185.5,229,275,1892.25,8010.25,2116
Apache Commons Configuration,org.apache.commons.configuration2,INIConfiguration,8,756,6,126,4,192,7,83,1,23,0.989528796,0.954545455,199,86,170,256,7056,28900,7396
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},1,36,1,1,0,4,1,2,0,2,0.972972973,0.5,5,73.5,13,47.5,3660.25,676,1190.25
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,45,0,0,0,4,0,2,0,2,1,0.83,4,183,83,179,10000,16,9216
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,46,0,0,0,5,0,2,0,2,1,0.83,5,182.5,82.5,177.5,10000,25,9025
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,30,0,0,0,4,0,2,0,2,1,0.83,4,182,82,176,10000,36,8836
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,87,0,8,0,15,0,6,0,2,1,1,15,181.5,223.5,269,1764,7656.25,2070.25
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,106,0,6,0,17,0,5,0,2,1,1,17,181,223,268,1764,7569,2025
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.BuilderVisitor,0,117,1,19,0,34,1,13,0,4,1,0.95,35,180.5,163,246,306.25,4290.25,6889
Apache Commons Configuration,org.apache.commons.configuration2,SubsetConfiguration.SubsetIterator,0,25,0,0,0,7,0,4,0,4,1,0.83,7,180,81.5,175,9702.25,25,8742.25
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationUtils,28,356,1,33,7,90,2,34,1,18,0.927083333,0.970588235,92,48,169,248,14641,40000,6241
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,50,0,2,0,6,0,3,0,2,1,1,6,178.5,219.5,264,1681,7310.25,1980.25
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationConverter,0,73,0,6,0,23,0,7,0,4,1,1,23,178,219,263,1681,7225,1936
