GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,,Statement_Coverage,Branch_Coverage,Complexity,Rank_Statement,Rank_Branch,Rank_Complex,d^2 of S and B,d^2 of S and C,d^2 of B and C
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConfigurationDynaClass,36,140,4,26,5,42,6,15,2,4,,0.795454545,0.866666667,21,35,150,233.5,13225,39402.25,6972.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,DefaultBeanFactory,7,257,3,27,0,66,3,28,0,16,,0.973484848,0.9,31,86,160.5,251,5550.25,27225,8190.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,BeanHelper.BeanCreationContextImpl,5,30,0,0,1,11,1,5,1,5,,0.857142857,0.83,6,42.5,91,130,2352.25,7656.25,1521
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,XMLBeanDeclaration.NodeData,0,89,0,2,0,17,0,10,0,9,,1,1,10,201.5,246.5,167.5,2025,1156,6241
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,XMLBeanDeclaration,51,315,8,28,13,74,7,36,0,25,,0.860655738,0.777777778,43,43,30.5,264,156.25,48841,54522.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConstructorArg,3,115,1,13,0,27,1,17,0,11,,0.974576271,0.928571429,18,85,168.5,215.5,6972.25,17030.25,2209
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,CombinedBeanDeclaration,0,153,0,26,0,41,0,20,0,7,,1,1,20,199,244,226.5,2025,756.25,306.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,BeanHelper,101,388,11,39,24,106,7,42,0,24,,0.793456033,0.78,49,34,31,266,9,53824,55225
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConfigurationDynaBean,75,299,10,36,7,62,9,26,0,12,,0.799465241,0.782608696,35,34,31,250.5,9,46872.25,48180.25
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration,392,465,25,27,83,124,68,43,50,35,,0.542590432,0.519230769,111,15,16,285,1,72900,72361
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationLookup,0,21,0,2,0,7,0,4,0,3,,1,1,4,195.5,240.5,87.5,2025,11664,23409
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.PropertiesWriter.new ValueTransformer() {...},0,10,0,0,0,3,0,2,0,2,,1,0.83,2,195,86.5,31,11772.25,26896,3080.25
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet.ConfigurationSetIterator,0,29,0,0,0,7,0,4,0,4,,1,0.83,4,194.5,86,86,11772.25,11772.25,0
Apache Commons Configuration,org.apache.commons.configuration2,ImmutableConfigurationInvocationHandler,0,35,0,4,0,11,0,5,0,3,,1,1,5,194,238,108.5,1936,7310.25,16770.25
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfigurationLayout.PropertyLayoutData,13,81,1,9,3,26,1,15,0,11,,0.861702128,0.9,16,41,153,201,12544,25600,2304
