GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,,Statement_Coverage,Branch_Coverage,Coverage,rank.o,rank.p,rank.q,D*2 R&S,D*2 R&T,D*2 S&T
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConfigurationDynaClass,36,140,4,26,5,42,6,15,2,4,,0.795454545,0.866666667,21,35,150,255,13225,48400,11025
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,DefaultBeanFactory,7,257,3,27,0,66,3,28,0,16,,0.973484848,0.9,31,87,160,263,5329,30976,10609
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,BeanHelper.BeanCreationContextImpl,5,30,0,0,1,11,1,5,1,5,,0.857142857,0.83,6,43.5,90,192,2162.25,22052.25,10404
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,XMLBeanDeclaration.NodeData,0,89,0,2,0,17,0,10,0,9,,1,1,10,201.5,245.5,295,1936,8742.25,2450.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,XMLBeanDeclaration,51,315,8,28,13,74,7,36,0,25,,0.860655738,0.777777778,43,44,30.5,91,182.25,2209,3660.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConstructorArg,3,115,1,13,0,27,1,17,0,11,,0.974576271,0.928571429,18,85,170.5,267.5,7310.25,33306.25,9409
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,CombinedBeanDeclaration,0,153,0,26,0,41,0,20,0,7,,1,1,20,199,243,292,1936,8649,2401
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,BeanHelper,101,388,11,39,24,106,7,42,0,24,,0.793456033,0.78,49,34,31,91.5,9,3306.25,3660.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConfigurationDynaBean,75,299,10,36,7,62,9,26,0,12,,0.799465241,0.782608696,35,34,31,91,9,3249,3600
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration,392,465,25,27,83,124,68,43,50,35,,0.542590432,0.519230769,111,15,16,55,1,1600,1521
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationLookup,0,21,0,2,0,7,0,4,0,3,,1,1,4,195.5,239.5,288,1936,8556.25,2352.25
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.PropertiesWriter.new ValueTransformer() {...},0,10,0,0,0,3,0,2,0,2,,1,0.83,2,195,85.5,185,11990.25,100,9900.25
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet.ConfigurationSetIterator,0,29,0,0,0,7,0,4,0,4,,1,0.83,4,194.5,85,183.5,11990.25,121,9702.25
Apache Commons Configuration,org.apache.commons.configuration2,ImmutableConfigurationInvocationHandler,0,35,0,4,0,11,0,5,0,3,,1,1,5,194,237,285,1849,8281,2304
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfigurationLayout.PropertyLayoutData,13,81,1,9,3,26,1,15,0,11,,0.861702128,0.9,16,42,152.5,249.5,12210.25,43056.25,9409
Apache Commons Configuration,org.apache.commons.configuration2,StrictConfigurationComparator,0,63,0,16,0,19,0,10,0,2,,1,1,10,192.5,235.5,283,1849,8190.25,2256.25
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.JdbcOperation,3,149,1,11,1,32,1,11,0,6,,0.980263158,0.916666667,12,86,157.5,252,5112.25,27556,8930.25
Apache Commons Configuration,org.apache.commons.configuration2,XMLConfiguration.XMLBuilderVisitor,18,369,6,48,4,98,6,33,0,12,,0.953488372,0.888888889,39,67,149.5,247,6806.25,32400,9506.25
Apache Commons Configuration,org.apache.commons.configuration2,XMLPropertiesConfiguration.XMLPropertiesHandler,0,71,0,8,0,18,0,8,0,4,,1,1,8,190,233,280,1849,8100,2209
Apache Commons Configuration,org.apache.commons.configuration2,INIConfiguration,11,782,6,126,4,201,7,85,1,25,,0.986128625,0.954545455,92,88,176,262,7744,30276,7396
Apache Commons Configuration,org.apache.commons.configuration2,AbstractYAMLBasedConfiguration,15,205,2,18,3,48,2,17,1,8,,0.931818182,0.9,19,55,151,247,9216,36864,9216
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},1,36,1,1,0,4,1,2,0,2,,0.972972973,0.5,3,77.5,13,47.5,4160.25,900,1190.25
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,45,0,0,0,4,0,2,0,2,,1,0.83,2,186.5,83.5,181,10609,30.25,9506.25
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,46,0,0,0,5,0,2,0,2,,1,0.83,2,186,83,180,10609,36,9409
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,30,0,0,0,4,0,2,0,2,,1,0.83,2,185.5,82.5,178.5,10609,49,9216
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,87,0,8,0,15,0,6,0,2,,1,1,6,185,226.5,272,1722.25,7569,2070.25
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,106,0,6,0,17,0,5,0,2,,1,1,5,184.5,226,271,1722.25,7482.25,2025
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.BuilderVisitor,0,117,1,19,0,34,1,13,0,4,,1,0.95,14,184,166,250.5,324,4422.25,7140.25
Apache Commons Configuration,org.apache.commons.configuration2,SubsetConfiguration.SubsetIterator,0,25,0,0,0,7,0,4,0,4,,1,0.83,4,183.5,82,177,10302.25,42.25,9025
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationUtils,36,367,1,33,11,95,4,37,3,21,,0.910669975,0.83,41,45,81.5,176,1332.25,17161,8930.25
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,50,0,2,0,6,0,3,0,2,,1,1,3,182,222.5,267,1640.25,7225,1980.25
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationConverter,0,76,0,6,0,24,0,8,0,5,,1,1,8,181.5,222,266,1640.25,7140.25,1936
Apache Commons Configuration,org.apache.commons.configuration2,AbstractHierarchicalConfiguration.DefinedKeysVisitor,0,96,0,6,0,22,0,9,0,6,,1,1,9,181,221.5,265,1640.25,7056,1892.25
Apache Commons Configuration,org.apache.commons.configuration2,EnvironmentConfiguration,0,22,0,0,0,5,0,4,0,4,,1,0.83,4,180.5,81,175,9900.25,30.25,8836
Apache Commons Configuration,org.apache.commons.configuration2,DataConfiguration.DataConversionHandler,1,34,1,5,0,8,1,4,0,2,,0.971428571,0.833333333,5,74,130.5,226.5,3192.25,23256.25,9216
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.DefaultIOFactory,0,14,0,0,0,3,0,3,0,3,,1,0.83,3,179,80.5,174,9702.25,25,8742.25
Apache Commons Configuration,org.apache.commons.configuration2,HierarchicalConfigurationXMLReader.SAXVisitor,6,85,3,7,0,20,3,8,0,6,,0.934065934,0.7,11,54,20.5,65.5,1122.25,132.25,2025
Apache Commons Configuration,org.apache.commons.configuration2,XMLDocumentHelper,0,192,0,4,0,58,0,20,0,18,,1,1,20,177.5,217,260,1560.25,6806.25,1849
Apache Commons Configuration,org.apache.commons.configuration2,XMLListReference,0,150,1,19,0,38,1,17,0,8,,1,0.95,18,177,159.5,241,306.25,4096,6642.25
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationUtils.new EventSource() {...},0,6,0,0,0,3,0,3,0,3,,1,0.83,3,176.5,79,172,9506.25,20.25,8649
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationUtils.new EventListener() {...},0,9,0,0,0,3,0,2,0,2,,1,0.83,2,176,78.5,171,9506.25,25,8556.25
Apache Commons Configuration,org.apache.commons.configuration2,HierarchicalConfigurationXMLReader,0,35,0,0,0,13,0,6,0,6,,1,0.83,6,175.5,78,170,9506.25,30.25,8464
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.PropertiesWriter,11,214,0,20,2,54,1,25,1,15,,0.951111111,1,26,59,212.5,255,23562.25,38416,1806.25
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfigurationLayout,13,653,4,80,4,172,4,75,0,37,,0.98048048,0.952380952,79,79,158,237,6241,24964,6241
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfigurationXMLReader.SAXConverter,0,24,0,2,0,7,0,4,0,3,,1,1,4,173,211,253,1444,6400,1764
Apache Commons Configuration,org.apache.commons.configuration2,XMLPropertiesConfiguration,78,298,14,20,15,81,14,17,2,12,,0.792553191,0.588235294,31,32,17,54.5,225,506.25,1406.25
Apache Commons Configuration,org.apache.commons.configuration2,SubsetConfiguration,20,225,4,20,3,48,4,28,0,20,,0.918367347,0.833333333,32,46,124,210.5,6084,27060.25,7482.25
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration.new ConfigurationInterpolator() {...},0,15,0,0,0,3,0,2,0,2,,1,0.83,2,170.5,76.5,167,8836,12.25,8190.25
Apache Commons Configuration,org.apache.commons.configuration2,AbstractHierarchicalConfiguration,6,590,1,51,2,137,1,61,0,36,,0.989932886,0.980769231,62,82,163,234,6561,23104,5041
Apache Commons Configuration,org.apache.commons.configuration2,PatternSubtreeConfigurationWrapper,430,86,12,6,73,18,66,6,57,6,,0.166666667,0.333333333,72,4,7.5,26.5,12.25,506.25,361
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap,0,36,0,0,0,10,0,5,0,5,,1,0.83,5,168,75,165,8649,9,8100
