GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JFreeChart,org.jfree.chart.plot,PlotRenderingInfo,193,0,20,0,55,0,24,0,14,0
JFreeChart,org.jfree.chart.plot,CombinedDomainXYPlot,908,0,112,0,244,0,86,0,30,0
JFreeChart,org.jfree.chart.plot,PolarPlot,2301,0,282,0,615,0,235,0,94,0
JFreeChart,org.jfree.chart.plot,DatasetRenderingOrder,38,0,0,0,3,0,4,0,4,0
JFreeChart,org.jfree.chart.plot,DialShape,48,0,0,0,4,0,4,0,4,0
JFreeChart,org.jfree.chart.plot,Plot,1171,0,180,0,366,0,159,0,69,0
JFreeChart,org.jfree.chart.plot,PiePlotState,80,0,0,0,34,0,21,0,21,0
JFreeChart,org.jfree.chart.plot,ThermometerPlot,1947,0,192,0,440,0,170,0,73,0
JFreeChart,org.jfree.chart.plot,RingPlot,684,0,70,0,201,0,65,0,30,0
JFreeChart,org.jfree.chart.plot,PiePlot,3749,0,344,0,970,0,304,0,132,0
JFreeChart,org.jfree.chart.plot,PieLabelDistributor,334,0,34,0,72,0,26,0,9,0
JFreeChart,org.jfree.chart.plot,PieLabelRecord,195,0,26,0,55,0,29,0,16,0
JFreeChart,org.jfree.chart.plot,PlotState,11,0,0,0,4,0,2,0,2,0
JFreeChart,org.jfree.chart.plot,FastScatterPlot,1017,0,102,0,288,0,101,0,50,0
JFreeChart,org.jfree.chart.plot,CompassPlot,1198,0,105,0,268,0,92,0,35,0
JFreeChart,org.jfree.chart.plot,DefaultDrawingSupplier,777,0,56,0,151,0,46,0,18,0
JFreeChart,org.jfree.chart.plot,CategoryMarker,99,0,10,0,30,0,13,0,8,0
JFreeChart,org.jfree.chart.plot,Crosshair,638,0,34,0,179,0,57,0,40,0
JFreeChart,org.jfree.chart.plot,MeterPlot,1526,0,142,0,390,0,127,0,56,0
JFreeChart,org.jfree.chart.plot,IntervalMarker,136,0,12,0,37,0,17,0,11,0
JFreeChart,org.jfree.chart.plot,AbstractPieLabelDistributor,31,0,0,0,10,0,5,0,5,0
JFreeChart,org.jfree.chart.plot,CombinedRangeXYPlot,860,0,102,0,237,0,79,0,28,0
JFreeChart,org.jfree.chart.plot,CombinedRangeCategoryPlot,713,0,86,0,198,0,63,0,20,0
JFreeChart,org.jfree.chart.plot,MultiplePiePlot,781,0,84,0,208,0,67,0,25,0
JFreeChart,org.jfree.chart.plot,MeterInterval,135,0,14,0,42,0,17,0,10,0
JFreeChart,org.jfree.chart.plot,XYCrosshairState,3,0,0,0,2,0,1,0,1,0
JFreeChart,org.jfree.chart.plot,PlotOrientation,46,0,0,0,5,0,6,0,6,0
JFreeChart,org.jfree.chart.plot,WaferMapPlot,581,0,44,0,131,0,36,0,14,0
JFreeChart,org.jfree.chart.plot,PolarAxisLocation,98,0,0,0,9,0,4,0,4,0
JFreeChart,org.jfree.chart.plot,CombinedDomainCategoryPlot,851,0,96,0,226,0,73,0,25,0
JFreeChart,org.jfree.chart.plot,XYPlot,6564,0,866,0,1744,0,664,0,231,0
JFreeChart,org.jfree.chart.plot,ValueMarker,68,0,8,0,22,0,10,0,6,0
JFreeChart,org.jfree.chart.plot,SpiderWebPlot,1683,0,144,0,455,0,141,0,69,0
JFreeChart,org.jfree.chart.plot,CategoryPlot,5367,0,692,0,1467,0,567,0,221,0
JFreeChart,org.jfree.chart.plot,Marker,519,0,42,0,144,0,58,0,37,0
JFreeChart,org.jfree.chart.plot,PiePlot3D,2029,0,148,0,510,0,86,0,12,0
JFreeChart,org.jfree.chart.plot,CrosshairState,194,0,16,0,60,0,27,0,19,0
JFreeChart,org.jfree.chart.plot,CategoryCrosshairState,117,0,12,0,38,0,13,0,7,0
JFreeChart,org.jfree.chart.plot,CenterTextMode,48,0,0,0,4,0,4,0,4,0
JFreeChart,org.jfree.chart.plot,PieLabelLinkStyle,48,0,0,0,4,0,4,0,4,0
JFreeChart,org.jfree.chart.plot,SeriesRenderingOrder,38,0,0,0,3,0,4,0,4,0
JFreeChart,org.jfree.chart.imagemap,StandardToolTipTagFragmentGenerator,15,0,0,0,3,0,2,0,2,0
JFreeChart,org.jfree.chart.imagemap,DynamicDriveToolTipTagFragmentGenerator,47,0,0,0,11,0,3,0,3,0
JFreeChart,org.jfree.chart.imagemap,StandardURLTagFragmentGenerator,14,0,0,0,3,0,2,0,2,0
JFreeChart,org.jfree.chart.imagemap,OverLIBToolTipTagFragmentGenerator,15,0,0,0,4,0,2,0,2,0
JFreeChart,org.jfree.chart.imagemap,ImageMapUtils,253,0,34,0,60,0,25,0,8,0
JFreeChart,org.jfree.chart.editor,DefaultAxisEditor,591,0,22,0,132,0,29,0,18,0
JFreeChart,org.jfree.chart.editor,DefaultChartEditor,422,0,6,0,87,0,12,0,9,0
JFreeChart,org.jfree.chart.editor,DefaultPlotEditor,934,0,100,0,233,0,68,0,18,0
JFreeChart,org.jfree.chart.editor,DefaultLogAxisEditor,156,0,12,0,42,0,13,0,7,0
JFreeChart,org.jfree.chart.editor,DefaultTitleEditor,391,0,22,0,96,0,22,0,11,0
JFreeChart,org.jfree.chart.editor,DefaultValueAxisEditor,546,0,32,0,128,0,36,0,20,0
JFreeChart,org.jfree.chart.editor,DefaultPolarPlotEditor,241,0,12,0,60,0,15,0,9,0
JFreeChart,org.jfree.chart.editor,DefaultNumberAxisEditor,199,0,12,0,52,0,13,0,7,0
JFreeChart,org.jfree.chart.editor,DefaultChartEditorFactory,8,0,0,0,3,0,2,0,2,0
JFreeChart,org.jfree.chart.editor,ChartEditorManager,20,0,0,0,8,0,5,0,5,0
JFreeChart,org.jfree.chart.urls,CustomPieURLGenerator,171,0,24,0,44,0,20,0,8,0
JFreeChart,org.jfree.chart.urls,StandardXYURLGenerator,122,0,14,0,29,0,12,0,5,0
JFreeChart,org.jfree.chart.urls,StandardCategoryURLGenerator,216,0,20,0,51,0,17,0,7,0
JFreeChart,org.jfree.chart.urls,TimeSeriesURLGenerator,225,0,20,0,53,0,18,0,8,0
JFreeChart,org.jfree.chart.urls,StandardXYZURLGenerator,9,0,0,0,2,0,2,0,2,0
JFreeChart,org.jfree.chart.urls,CustomXYURLGenerator,156,0,28,0,46,0,22,0,8,0
JFreeChart,org.jfree.chart.urls,CustomCategoryURLGenerator,156,0,28,0,47,0,22,0,8,0
JFreeChart,org.jfree.chart.urls,URLUtilities,54,0,0,0,15,0,3,0,3,0
JFreeChart,org.jfree.chart.urls,StandardPieURLGenerator,155,0,14,0,40,0,13,0,6,0
JFreeChart,org.jfree.data.json,JSONUtils,224,0,20,0,70,0,15,0,5,0
JFreeChart,org.jfree.chart.title,LegendGraphic,615,0,74,0,179,0,76,0,39,0
JFreeChart,org.jfree.chart.title,Title,299,0,28,0,88,0,36,0,22,0
JFreeChart,org.jfree.chart.title,ImageTitle,405,0,36,0,84,0,29,0,11,0
JFreeChart,org.jfree.chart.title,DateTitle,53,0,0,0,10,0,5,0,5,0
JFreeChart,org.jfree.chart.title,ShortTextTitle,301,0,44,0,66,0,30,0,8,0
JFreeChart,org.jfree.chart.title,PaintScaleLegend,1064,0,92,0,229,0,76,0,30,0
JFreeChart,org.jfree.chart.title,CompositeTitle,153,0,10,0,45,0,17,0,12,0
JFreeChart,org.jfree.chart.title,LegendItemBlockContainer,87,0,4,0,28,0,11,0,9,0
JFreeChart,org.jfree.chart.title,TextTitle,1099,0,150,0,273,0,112,0,37,0
JFreeChart,org.jfree.chart.title,LegendTitle,712,0,62,0,197,0,66,0,35,0
JFreeChart,org.jfree.data.xml,ItemHandler,112,0,8,0,32,0,11,0,7,0
JFreeChart,org.jfree.data.xml,PieDatasetHandler,72,0,8,0,20,0,9,0,5,0
JFreeChart,org.jfree.data.xml,ValueHandler,100,0,8,0,27,0,10,0,6,0
JFreeChart,org.jfree.data.xml,KeyHandler,96,0,6,0,21,0,9,0,6,0
JFreeChart,org.jfree.data.xml,DatasetReader,122,0,2,0,43,0,8,0,7,0
JFreeChart,org.jfree.data.xml,RootHandler,54,0,8,0,18,0,10,0,6,0
JFreeChart,org.jfree.data.xml,CategoryDatasetHandler,85,0,8,0,22,0,9,0,5,0
JFreeChart,org.jfree.data.xml,CategorySeriesHandler,114,0,8,0,30,0,9,0,5,0
JFreeChart,org.jfree.chart,ChartColor,344,0,0,0,27,0,3,0,3,0
JFreeChart,org.jfree.chart,ChartHints.Key,33,0,13,0,6,0,9,0,2,0
JFreeChart,org.jfree.chart,PaintMap,169,0,14,0,51,0,16,0,9,0
JFreeChart,org.jfree.chart,JFreeChart,1649,0,174,0,431,0,161,0,74,0
JFreeChart,org.jfree.chart,StandardChartTheme,1995,0,210,0,589,0,197,0,92,0
JFreeChart,org.jfree.chart,ChartTransferable,207,0,12,0,52,0,13,0,7,0
JFreeChart,org.jfree.chart,HashUtils,321,0,42,0,75,0,35,0,14,0
JFreeChart,org.jfree.chart,PolarChartPanel,243,0,24,0,72,0,19,0,7,0
JFreeChart,org.jfree.chart,ChartFrame,37,0,2,0,10,0,4,0,3,0
JFreeChart,org.jfree.chart,StrokeMap,169,0,14,0,51,0,16,0,9,0
JFreeChart,org.jfree.chart,ChartUtils,448,0,12,0,116,0,36,0,30,0
JFreeChart,org.jfree.chart,JFreeChart.new RenderingHints.Key() {...},7,0,0,0,2,0,2,0,2,0
JFreeChart,org.jfree.chart,LegendItem,785,0,52,0,227,0,84,0,58,0
JFreeChart,org.jfree.chart,LegendItemCollection,70,0,6,0,21,0,11,0,8,0
JFreeChart,org.jfree.chart,ChartMouseEvent,22,0,0,0,8,0,4,0,4,0
JFreeChart,org.jfree.chart,ChartRenderingInfo,143,0,16,0,44,0,20,0,12,0
JFreeChart,org.jfree.chart,ChartPanel,3991,0,394,0,1017,0,307,0,110,0
JFreeChart,org.jfree.chart,ChartHints,14,0,0,0,4,0,2,0,2,0
JFreeChart,org.jfree.chart,LegendRenderingOrder,38,0,0,0,3,0,4,0,4,0
JFreeChart,org.jfree.chart,StandardChartTheme.new StandardChartTheme() {...},5,0,0,0,2,0,2,0,2,0
JFreeChart,org.jfree.chart,MouseWheelHandler,118,0,14,0,38,0,12,0,5,0
JFreeChart,org.jfree.chart,ChartFactory,2614,0,202,0,577,0,157,0,56,0
JFreeChart,org.jfree.chart.needle,PinNeedle,146,0,12,0,31,0,11,0,5,0
JFreeChart,org.jfree.chart.needle,MiddlePinNeedle,153,0,14,0,31,0,12,0,5,0
JFreeChart,org.jfree.chart.needle,ShipNeedle,104,0,12,0,22,0,11,0,5,0
JFreeChart,org.jfree.chart.needle,PointerNeedle,157,0,16,0,42,0,13,0,5,0
JFreeChart,org.jfree.chart.needle,ArrowNeedle,176,0,18,0,42,0,14,0,5,0
JFreeChart,org.jfree.chart.needle,MeterNeedle,331,0,30,0,102,0,41,0,26,0
JFreeChart,org.jfree.chart.needle,PlumNeedle,102,0,10,0,25,0,10,0,5,0
JFreeChart,org.jfree.chart.needle,WindNeedle,87,0,12,0,23,0,10,0,4,0
JFreeChart,org.jfree.chart.needle,LineNeedle,69,0,8,0,17,0,9,0,5,0
JFreeChart,org.jfree.chart.needle,LongNeedle,208,0,16,0,57,0,13,0,5,0
JFreeChart,org.jfree.chart.encoders,SunPNGEncoderAdapter,32,0,0,0,12,0,7,0,7,0
JFreeChart,org.jfree.chart.encoders,EncoderUtil,71,0,0,0,21,0,9,0,9,0
JFreeChart,org.jfree.chart.encoders,SunJPEGEncoderAdapter,86,0,4,0,27,0,9,0,7,0
JFreeChart,org.jfree.chart.encoders,ImageEncoderFactory,93,0,2,0,30,0,9,0,8,0
JFreeChart,org.jfree.data.io,CSV,212,0,20,0,57,0,16,0,6,0
JFreeChart,org.jfree.chart.labels,IntervalXYItemLabelGenerator,279,0,32,0,63,0,25,0,9,0
JFreeChart,org.jfree.chart.labels,StandardPieToolTipGenerator,36,0,0,0,13,0,7,0,7,0
JFreeChart,org.jfree.chart.labels,IntervalXYToolTipGenerator,279,0,32,0,63,0,25,0,9,0
JFreeChart,org.jfree.chart.labels,StandardXYToolTipGenerator,60,0,4,0,20,0,11,0,9,0
JFreeChart,org.jfree.chart.labels,IntervalCategoryToolTipGenerator,125,0,14,0,30,0,12,0,5,0
JFreeChart,org.jfree.chart.labels,StandardCrosshairLabelGenerator,87,0,12,0,27,0,13,0,7,0
JFreeChart,org.jfree.chart.labels,IntervalCategoryItemLabelGenerator,111,0,10,0,25,0,9,0,4,0
JFreeChart,org.jfree.chart.labels,AbstractXYItemLabelGenerator,305,0,32,0,81,0,32,0,16,0
JFreeChart,org.jfree.chart.labels,BoxAndWhiskerXYToolTipGenerator,128,0,8,0,26,0,8,0,4,0
JFreeChart,org.jfree.chart.labels,BubbleXYItemLabelGenerator,202,0,18,0,53,0,19,0,10,0
JFreeChart,org.jfree.chart.labels,AbstractPieItemLabelGenerator,188,0,22,0,55,0,20,0,9,0
JFreeChart,org.jfree.chart.labels,StandardCategorySeriesLabelGenerator,73,0,6,0,25,0,10,0,7,0
JFreeChart,org.jfree.chart.labels,StandardPieSectionLabelGenerator,103,0,6,0,32,0,14,0,11,0
JFreeChart,org.jfree.chart.labels,BoxAndWhiskerToolTipGenerator,109,0,6,0,23,0,7,0,4,0
JFreeChart,org.jfree.chart.labels,AbstractCategoryItemLabelGenerator,255,0,22,0,71,0,24,0,13,0
JFreeChart,org.jfree.chart.labels,MultipleXYSeriesLabelGenerator,237,0,20,0,66,0,19,0,9,0
JFreeChart,org.jfree.chart.labels,CustomXYToolTipGenerator,144,0,28,0,38,0,22,0,8,0
JFreeChart,org.jfree.chart.labels,SymbolicXYItemLabelGenerator,114,0,12,0,30,0,13,0,7,0
JFreeChart,org.jfree.chart.labels,StandardCategoryItemLabelGenerator,41,0,4,0,14,0,8,0,6,0
JFreeChart,org.jfree.chart.labels,StandardXYZToolTipGenerator,177,0,16,0,48,0,17,0,9,0
JFreeChart,org.jfree.chart.labels,ItemLabelPosition,97,0,12,0,31,0,14,0,8,0
JFreeChart,org.jfree.chart.labels,ItemLabelAnchor,268,0,0,0,26,0,4,0,4,0
JFreeChart,org.jfree.chart.labels,StandardCategoryToolTipGenerator,35,0,4,0,12,0,7,0,5,0
JFreeChart,org.jfree.chart.labels,HighLowItemLabelGenerator,219,0,28,0,58,0,21,0,7,0
JFreeChart,org.jfree.chart.labels,StandardXYSeriesLabelGenerator,73,0,6,0,25,0,10,0,7,0
JFreeChart,org.jfree.chart.labels,StandardXYItemLabelGenerator,59,0,4,0,21,0,11,0,9,0
JFreeChart,org.jfree.chart.axis,DateTickUnit,276,0,30,0,67,0,32,0,17,0
JFreeChart,org.jfree.chart.axis,TickUnit,98,0,16,0,31,0,16,0,8,0
