GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.Constants,0,572,0,0,0,17,0,1,0,1
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},5,121,2,10,2,21,2,6,0,2
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},14,167,5,17,5,20,5,8,0,2
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},44,80,10,10,13,21,9,6,0,3
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},14,219,4,19,4,35,3,13,0,4
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},84,142,9,13,13,29,6,9,0,4
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},23,206,4,20,9,30,4,12,0,4
jsoup Java HTML Parser,org.jsoup.parser,Token.Doctype,0,63,0,0,0,19,0,7,0,7
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},111,162,25,24,25,38,19,11,0,3
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},119,6,10,0,11,1,6,1,1,1
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},10,71,2,16,4,16,2,9,0,2
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},55,83,15,15,15,20,13,4,0,2
jsoup Java HTML Parser,org.jsoup.parser,Token.TokenType,0,64,0,0,0,7,0,1,0,1
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},26,56,6,14,6,12,6,6,0,2
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},0,50,2,10,0,10,2,6,0,2
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},35,24,11,5,6,5,8,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},2,6,0,0,1,1,1,1,1,1
jsoup Java HTML Parser,org.jsoup.parser,Parser,15,183,0,8,5,34,4,18,4,14
jsoup Java HTML Parser,org.jsoup.parser,Token.EndTag,12,6,0,0,1,3,1,1,1,1
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState,0,296,0,6,0,44,0,8,0,5
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},0,11,0,0,0,3,0,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},0,12,0,0,0,3,0,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},0,31,0,3,0,12,0,4,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},0,11,0,0,0,3,0,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},0,12,0,0,0,3,0,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,Token.Comment,12,27,0,0,1,9,1,3,1,3
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},0,68,0,8,0,17,0,6,0,2
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},20,204,4,27,6,42,4,16,0,3
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},19,129,7,21,4,16,7,10,0,3
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},43,59,6,10,6,15,5,6,0,3
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},51,63,7,13,8,15,6,6,0,2
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},0,43,1,5,0,12,1,4,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},0,23,0,2,0,7,0,3,0,2
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},36,343,9,37,10,68,9,17,0,3
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},17,71,4,8,6,21,3,7,0,3
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},43,153,6,16,12,27,6,8,0,3
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},0,35,0,2,0,9,0,3,0,2
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},345,1269,89,209,92,318,72,82,0,3
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},0,57,0,8,0,12,0,6,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},5,37,2,4,2,14,2,5,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},14,49,3,6,5,15,3,5,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},8,55,2,7,3,17,2,6,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},26,46,3,6,11,19,3,7,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState,13,997,2,24,6,135,2,19,0,6
jsoup Java HTML Parser,org.jsoup.parser,Token.StartTag,0,71,1,3,0,14,1,5,0,4
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},38,29,4,4,15,12,4,5,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},12,48,3,5,5,18,3,6,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},12,52,1,6,5,21,1,7,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},0,12,0,0,0,3,0,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},3,20,1,1,1,6,1,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},47,6,6,0,20,1,6,1,1,1
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},43,6,5,0,18,1,5,1,1,1
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},23,39,3,2,10,9,3,3,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},0,12,0,0,0,3,0,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},0,11,0,0,0,3,0,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},6,29,1,1,2,7,1,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,ParseErrorList,3,28,0,2,1,6,1,5,1,4
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},0,49,0,4,0,12,0,4,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},21,32,3,4,9,12,3,4,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},21,28,3,3,9,10,3,3,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},16,44,2,4,7,11,2,4,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},3,18,1,1,1,5,1,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,Tokeniser,66,644,10,86,15,148,13,63,3,25
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},0,21,0,2,0,6,0,3,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},37,22,4,2,14,9,4,3,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},57,6,5,0,19,1,5,1,1,1
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},52,6,5,0,19,1,5,1,1,1
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},36,22,3,2,13,7,3,3,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},41,16,5,1,16,6,5,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},50,16,5,1,19,6,5,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},29,66,3,7,10,12,3,4,0,2
jsoup Java HTML Parser,org.jsoup.parser,Tag,132,1137,30,36,14,86,25,30,5,17
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},29,35,3,4,9,13,3,4,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},27,36,3,3,10,13,3,3,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},9,31,2,2,3,12,2,3,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokenQueue,172,585,30,90,21,117,27,65,8,24
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},55,18,5,1,17,7,5,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},24,27,2,2,8,8,2,3,0,2
jsoup Java HTML Parser,org.jsoup.parser,TreeBuilder,10,161,2,8,1,35,2,11,0,8
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},0,54,0,4,0,15,0,5,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},50,6,5,0,19,1,5,1,1,1
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},35,21,4,1,14,6,4,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},6,33,1,5,2,9,1,4,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},0,29,0,0,0,8,0,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},7,30,1,2,3,11,1,3,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},0,41,0,5,0,17,0,6,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},33,40,6,5,11,14,5,5,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},49,16,5,1,19,6,5,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},36,20,4,2,14,8,4,3,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},0,21,0,0,0,6,0,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},18,6,3,0,9,1,3,1,1,1
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},20,18,3,1,8,7,3,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},52,6,5,0,19,1,5,1,1,1
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},36,22,3,2,13,7,3,3,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},41,16,5,1,16,6,5,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilder,184,1779,44,160,52,324,49,132,8,71
jsoup Java HTML Parser,org.jsoup.parser,ParseError,6,33,0,0,2,9,2,3,2,3
jsoup Java HTML Parser,org.jsoup.parser,XmlTreeBuilder,10,292,5,24,1,66,5,24,0,12
jsoup Java HTML Parser,org.jsoup.parser,Token.EOF,0,9,0,0,0,4,0,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,CharacterReader,36,1000,18,174,5,190,20,112,2,34
jsoup Java HTML Parser,org.jsoup.parser,ParseSettings,0,65,0,8,0,20,0,9,0,5
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},10,38,1,5,3,11,1,4,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},0,42,0,6,0,15,0,6,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},26,6,3,0,10,1,3,1,1,1
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},0,12,0,0,0,3,0,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},0,12,0,0,0,3,0,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},4,6,0,0,2,1,1,1,1,1
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},13,40,2,3,6,9,2,4,0,2
jsoup Java HTML Parser,org.jsoup.parser,Token.Character,0,23,0,0,0,9,0,5,0,5
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},0,10,0,0,0,3,0,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,TokeniserState.new TokeniserState() {...},0,38,0,5,0,14,0,6,0,2
jsoup Java HTML Parser,org.jsoup.parser,Token.Tag,10,267,2,26,3,72,3,30,1,18
jsoup Java HTML Parser,org.jsoup.parser,Token,0,76,1,13,0,15,1,19,0,13
jsoup Java HTML Parser,org.jsoup.select,Evaluator.AttributeWithValueContaining,15,23,0,4,1,3,1,4,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.CssNthEvaluator,65,55,4,12,7,9,4,8,2,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.TagEndsWith,10,12,0,0,1,4,1,2,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.Tag,0,22,0,0,0,5,0,3,0,3
jsoup Java HTML Parser,org.jsoup.select,StructuralEvaluator,0,3,0,0,0,1,0,1,0,1
jsoup Java HTML Parser,org.jsoup.select,Evaluator.IsOnlyOfType,2,43,0,10,1,9,1,7,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.IsNthLastChild,2,13,0,0,1,3,1,2,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.ContainsData,10,14,0,0,1,4,1,2,1,2
jsoup Java HTML Parser,org.jsoup.select,StructuralEvaluator.Parent,10,32,0,6,1,12,1,5,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.AttributeWithValue,15,23,0,4,1,3,1,4,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.AttributeWithValueMatching,16,28,0,4,1,5,1,4,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.IsOnlyChild,2,19,0,6,1,3,1,5,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.AttributeWithValueEnding,15,23,0,4,1,3,1,4,1,2
jsoup Java HTML Parser,org.jsoup.select,Selector,0,154,1,13,0,43,1,13,0,7
jsoup Java HTML Parser,org.jsoup.select,StructuralEvaluator.ImmediateParent,0,36,1,5,0,8,1,5,0,3
jsoup Java HTML Parser,org.jsoup.select,Evaluator.Class,0,21,0,0,0,5,0,3,0,3
jsoup Java HTML Parser,org.jsoup.select,Evaluator.IsNthChild,2,10,0,0,1,3,1,2,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.IndexGreaterThan,11,13,0,2,1,3,1,3,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.ContainsText,10,14,0,0,1,4,1,2,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.IsEmpty,2,30,2,6,1,6,3,4,1,2
jsoup Java HTML Parser,org.jsoup.select,CombiningEvaluator.And,0,37,0,4,0,10,0,6,0,4
jsoup Java HTML Parser,org.jsoup.select,Evaluator.IndexLessThan,11,13,0,2,1,3,1,3,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.AttributeStarting,10,35,0,4,1,10,1,4,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.Matches,10,15,0,0,1,5,1,2,1,2
jsoup Java HTML Parser,org.jsoup.select,Collector,0,17,0,0,0,3,0,1,0,1
jsoup Java HTML Parser,org.jsoup.select,NodeTraversor,0,55,1,9,0,19,1,6,0,2
jsoup Java HTML Parser,org.jsoup.select,CombiningEvaluator.Or,19,53,1,5,2,16,2,7,1,5
jsoup Java HTML Parser,org.jsoup.select,Evaluator.IsNthOfType,2,35,1,5,1,9,2,4,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.AllElements,2,5,0,0,1,2,1,2,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.ContainsOwnText,10,14,0,0,1,4,1,2,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.AttributeWithValueNot,15,17,0,2,1,3,1,3,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator,0,3,0,0,0,2,0,1,0,1
jsoup Java HTML Parser,org.jsoup.select,Evaluator.IsFirstOfType,2,5,0,0,1,2,1,1,1,1
jsoup Java HTML Parser,org.jsoup.select,Evaluator.IsNthLastOfType,2,32,0,4,1,7,1,4,1,2
jsoup Java HTML Parser,org.jsoup.select,StructuralEvaluator.Not,10,16,0,2,1,4,1,3,1,2
jsoup Java HTML Parser,org.jsoup.select,StructuralEvaluator.Root,0,10,0,2,0,2,0,3,0,2
jsoup Java HTML Parser,org.jsoup.select,StructuralEvaluator.PreviousSibling,14,26,2,4,3,9,3,3,1,2
jsoup Java HTML Parser,org.jsoup.select,CombiningEvaluator,1,50,1,1,0,13,1,5,0,5
jsoup Java HTML Parser,org.jsoup.select,Evaluator.Id,10,12,0,0,1,4,1,2,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.AttributeWithValueStarting,15,23,0,4,1,3,1,4,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.IsLastOfType,2,5,0,0,1,2,1,1,1,1
jsoup Java HTML Parser,org.jsoup.select,StructuralEvaluator.Has,10,31,0,6,1,8,1,5,1,2
jsoup Java HTML Parser,org.jsoup.select,StructuralEvaluator.ImmediatePreviousSibling,0,36,0,6,0,8,0,6,0,3
jsoup Java HTML Parser,org.jsoup.select,Evaluator.AttributeKeyPair,0,39,2,6,0,9,2,3,0,1
jsoup Java HTML Parser,org.jsoup.select,Evaluator.IsLastChild,2,23,0,6,1,3,1,5,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.IsRoot,2,19,0,4,1,3,1,4,1,2
jsoup Java HTML Parser,org.jsoup.select,Selector.SelectorParseException,0,6,0,0,0,2,0,1,0,1
jsoup Java HTML Parser,org.jsoup.select,Evaluator.Attribute,10,11,0,0,1,4,1,2,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.MatchesOwn,10,15,0,0,1,5,1,2,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.IsFirstChild,2,18,0,6,1,3,1,5,1,2
jsoup Java HTML Parser,org.jsoup.select,Elements,10,793,3,101,2,182,4,99,1,50
jsoup Java HTML Parser,org.jsoup.select,QueryParser,61,1213,5,135,4,227,5,87,0,22
jsoup Java HTML Parser,org.jsoup.select,Collector.Accumulator,0,32,0,4,0,11,0,5,0,3
jsoup Java HTML Parser,org.jsoup.select,Evaluator.IndexEquals,11,13,0,2,1,3,1,3,1,2
jsoup Java HTML Parser,org.jsoup.select,Evaluator.IndexEvaluator,0,6,0,0,0,3,0,1,0,1
jsoup Java HTML Parser,org.jsoup,UnsupportedMimeTypeException,34,0,0,0,7,0,4,0,4,0
jsoup Java HTML Parser,org.jsoup,HttpStatusException,34,0,0,0,7,0,4,0,4,0
jsoup Java HTML Parser,org.jsoup,SerializationException,16,0,0,0,8,0,4,0,4,0
jsoup Java HTML Parser,org.jsoup,Connection.Method,3,100,0,0,1,5,1,2,1,2
jsoup Java HTML Parser,org.jsoup,Jsoup,10,96,0,0,3,21,1,14,1,14
jsoup Java HTML Parser,org.jsoup.internal,Normalizer,3,8,0,0,1,2,1,2,1,2
jsoup Java HTML Parser,org.jsoup.examples,HtmlToPlainText,92,0,10,0,20,0,8,0,3,0
jsoup Java HTML Parser,org.jsoup.examples,ListLinks,224,0,12,0,30,0,10,0,4,0
jsoup Java HTML Parser,org.jsoup.examples,HtmlToPlainText.FormattingVisitor,273,0,30,0,41,0,20,0,5,0
jsoup Java HTML Parser,org.jsoup.nodes,Document,203,304,29,21,45,80,20,30,3,22
jsoup Java HTML Parser,org.jsoup.nodes,Element.new NodeVisitor() {...},0,50,0,12,0,12,0,9,0,3
jsoup Java HTML Parser,org.jsoup.nodes,Document.QuirksMode,0,34,0,0,0,2,0,1,0,1
jsoup Java HTML Parser,org.jsoup.nodes,FormElement,16,161,5,23,3,36,4,15,0,5
jsoup Java HTML Parser,org.jsoup.nodes,Attributes.Dataset.EntrySet,0,29,0,2,0,7,0,4,0,3
jsoup Java HTML Parser,org.jsoup.nodes,Attributes,29,392,9,59,8,95,9,47,1,21
jsoup Java HTML Parser,org.jsoup.nodes,DocumentType,0,144,0,20,0,30,0,16,0,6
jsoup Java HTML Parser,org.jsoup.nodes,Document.OutputSettings.Syntax,0,24,0,0,0,1,0,1,0,1
jsoup Java HTML Parser,org.jsoup.nodes,Node.new NodeVisitor() {...},0,15,0,0,0,4,0,3,0,3
jsoup Java HTML Parser,org.jsoup.nodes,BooleanAttribute,0,7,0,0,0,3,0,2,0,2
jsoup Java HTML Parser,org.jsoup.nodes,Entities.EscapeMode,4,99,0,8,1,14,1,8,1,4
jsoup Java HTML Parser,org.jsoup.nodes,Attributes.Dataset,7,48,1,3,1,9,1,4,0,3
jsoup Java HTML Parser,org.jsoup.nodes,Comment,3,35,1,1,1,13,2,5,1,5
jsoup Java HTML Parser,org.jsoup.nodes,Entities,61,457,8,55,10,114,8,39,1,12
jsoup Java HTML Parser,org.jsoup.nodes,TextNode,54,193,8,30,16,35,17,23,9,12
jsoup Java HTML Parser,org.jsoup.nodes,Document.OutputSettings,7,105,1,1,2,34,1,16,0,16
jsoup Java HTML Parser,org.jsoup.nodes,Node,43,882,13,75,10,215,14,87,2,55
jsoup Java HTML Parser,org.jsoup.nodes,Attributes.Dataset.DatasetIterator,0,55,0,4,0,9,0,6,0,4
jsoup Java HTML Parser,org.jsoup.nodes,Node.OuterHtmlVisitor,12,32,0,2,4,11,0,4,0,3
