GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Log4j,org.apache.log4j.nt,NTEventLogAppender,214,0,16,0,65,0,22,0,14,0
Apache Log4j,org.apache.log4j.net,SocketHubAppender,294,0,30,0,94,0,34,0,19,0
Apache Log4j,org.apache.log4j.net,SocketAppender,415,0,40,0,122,0,43,0,23,0
Apache Log4j,org.apache.log4j.net,JMSSink,214,0,12,0,56,0,12,0,6,0
Apache Log4j,org.apache.log4j.net,SocketNode,163,0,10,0,45,0,8,0,3,0
Apache Log4j,org.apache.log4j.net,SocketServer,329,0,18,0,64,0,16,0,7,0
Apache Log4j,org.apache.log4j.net,DefaultEvaluator,8,0,0,0,2,0,2,0,2,0
Apache Log4j,org.apache.log4j.net,JMSAppender,474,0,30,0,121,0,45,0,30,0
Apache Log4j,org.apache.log4j.net,TelnetAppender,104,0,10,0,36,0,12,0,7,0
Apache Log4j,org.apache.log4j.net,SMTPAppender.new Authenticator() {...},16,0,0,0,2,0,2,0,2,0
Apache Log4j,org.apache.log4j.net,ZeroConfSupport,463,0,16,0,123,0,19,0,11,0
Apache Log4j,org.apache.log4j.net,TelnetAppender.SocketHandler,203,0,16,0,61,0,13,0,5,0
Apache Log4j,org.apache.log4j.net,SocketHubAppender.ServerMonitor,240,0,22,0,74,0,15,0,4,0
Apache Log4j,org.apache.log4j.net,SocketAppender.Connector,105,0,4,0,22,0,4,0,2,0
Apache Log4j,org.apache.log4j.net,SyslogAppender,781,0,139,0,208,0,104,0,25,0
Apache Log4j,org.apache.log4j.net,SimpleSocketServer,139,0,8,0,31,0,9,0,5,0
Apache Log4j,org.apache.log4j.net,SMTPAppender,804,0,88,0,213,0,92,0,48,0
Apache Log4j,org.apache.log4j.or.sax,AttributesRenderer,60,0,6,0,18,0,5,0,2,0
Apache Log4j,org.apache.log4j.jdbc,JDBCAppender,276,0,18,0,89,0,32,0,23,0
Apache Log4j,org.apache.log4j.pattern,FormattingInfo,168,0,12,0,36,0,15,0,9,0
Apache Log4j,org.apache.log4j.pattern,LiteralPatternConverter,20,0,0,0,7,0,3,0,3,0
Apache Log4j,org.apache.log4j.pattern,LevelPatternConverter,55,0,9,0,17,0,12,0,5,0
Apache Log4j,org.apache.log4j.pattern,FileDatePatternConverter,16,0,4,0,3,0,3,0,1,0
Apache Log4j,org.apache.log4j.pattern,LineSeparatorPatternConverter,27,0,0,0,9,0,5,0,5,0
Apache Log4j,org.apache.log4j.pattern,NameAbbreviator.PatternAbbreviatorFragment,50,0,6,0,14,0,5,0,2,0
Apache Log4j,org.apache.log4j.pattern,PatternParser,1119,0,146,0,230,0,84,0,8,0
Apache Log4j,org.apache.log4j.pattern,CachedDateFormat,352,0,42,0,78,0,30,0,9,0
Apache Log4j,org.apache.log4j.pattern,NameAbbreviator,153,0,34,0,44,0,21,0,4,0
Apache Log4j,org.apache.log4j.pattern,NameAbbreviator.NOPAbbreviator,4,0,0,0,3,0,2,0,2,0
Apache Log4j,org.apache.log4j.pattern,FileLocationPatternConverter,23,0,2,0,8,0,5,0,4,0
Apache Log4j,org.apache.log4j.pattern,DatePatternConverter,146,0,18,0,40,0,14,0,5,0
Apache Log4j,org.apache.log4j.pattern,FullLocationPatternConverter,23,0,2,0,8,0,5,0,4,0
Apache Log4j,org.apache.log4j.pattern,RelativeTimePatternConverter.CachedTimestamp,23,0,2,0,8,0,3,0,2,0
Apache Log4j,org.apache.log4j.pattern,LineLocationPatternConverter,23,0,2,0,8,0,5,0,4,0
Apache Log4j,org.apache.log4j.pattern,RelativeTimePatternConverter,42,0,2,0,11,0,4,0,3,0
Apache Log4j,org.apache.log4j.pattern,ThrowableInformationPatternConverter,96,0,18,0,26,0,13,0,4,0
Apache Log4j,org.apache.log4j.pattern,LoggerPatternConverter,37,0,4,0,10,0,6,0,4,0
Apache Log4j,org.apache.log4j.pattern,LogEvent,481,0,56,0,141,0,55,0,27,0
Apache Log4j,org.apache.log4j.pattern,PatternParser.ReadOnlyMap,57,0,0,0,15,0,13,0,13,0
Apache Log4j,org.apache.log4j.pattern,PropertiesPatternConverter,104,0,16,0,23,0,11,0,3,0
Apache Log4j,org.apache.log4j.pattern,MessagePatternConverter,18,0,0,0,6,0,4,0,4,0
Apache Log4j,org.apache.log4j.pattern,SequenceNumberPatternConverter,17,0,0,0,6,0,4,0,4,0
Apache Log4j,org.apache.log4j.pattern,NameAbbreviator.MaxElementAbbreviator,43,0,6,0,11,0,5,0,2,0
Apache Log4j,org.apache.log4j.pattern,ThreadPatternConverter,18,0,0,0,6,0,4,0,4,0
Apache Log4j,org.apache.log4j.pattern,IntegerPatternConverter,31,0,4,0,9,0,6,0,4,0
Apache Log4j,org.apache.log4j.pattern,NDCPatternConverter,18,0,0,0,6,0,4,0,4,0
Apache Log4j,org.apache.log4j.pattern,NameAbbreviator.PatternAbbreviator,68,0,10,0,14,0,7,0,2,0
Apache Log4j,org.apache.log4j.pattern,LoggingEventPatternConverter,16,0,2,0,6,0,4,0,3,0
Apache Log4j,org.apache.log4j.pattern,ClassNamePatternConverter,34,0,2,0,10,0,4,0,3,0
Apache Log4j,org.apache.log4j.pattern,BridgePatternParser,10,0,0,0,3,0,2,0,2,0
Apache Log4j,org.apache.log4j.pattern,BridgePatternConverter,140,0,10,0,34,0,9,0,4,0
Apache Log4j,org.apache.log4j.pattern,PatternConverter,15,0,0,0,6,0,3,0,3,0
Apache Log4j,org.apache.log4j.pattern,DatePatternConverter.DefaultZoneDateFormat,27,0,0,0,7,0,3,0,3,0
Apache Log4j,org.apache.log4j.pattern,NameAbbreviator.DropElementAbbreviator,37,0,4,0,11,0,4,0,2,0
Apache Log4j,org.apache.log4j.pattern,NamePatternConverter,26,0,4,0,7,0,4,0,2,0
Apache Log4j,org.apache.log4j.pattern,MethodLocationPatternConverter,23,0,2,0,8,0,5,0,4,0
Apache Log4j,org.apache.log4j.helpers,CyclicBuffer,28,206,2,26,2,47,2,19,0,7
Apache Log4j,org.apache.log4j.helpers,SyslogWriter,173,0,22,0,44,0,16,0,5,0
Apache Log4j,org.apache.log4j.helpers,FileWatchdog,44,63,5,3,12,23,4,4,0,4
Apache Log4j,org.apache.log4j.helpers,RelativeTimeDateFormat,2,14,0,0,1,4,1,2,1,2
Apache Log4j,org.apache.log4j.helpers,PatternParser,138,526,17,59,22,136,16,38,0,7
Apache Log4j,org.apache.log4j.helpers,PatternParser.DatePatternConverter,4,28,0,0,2,9,0,2,0,2
Apache Log4j,org.apache.log4j.helpers,ThreadLocalMap,10,3,2,0,4,1,2,1,1,1
